id,full name,code,acronym,country,finantial
1607,Calima Aviacion,XG,CALIMA,Spain,Y
1608,Calm Air,MO,CALM AIR,Canada,N
1609,Camai Air,R9,AIR CAMAI,United States,N
1610,Cambodia Airlines,,CAMBODIA AIRLINES,Cambodia,N
1611,Cameroon Airlines,UY,CAM-AIR,Cameroon,N
1612,Campania Helicopteros De Transporte,,HELIASTURIAS,Spain,N
1613,CanJet,C6,CANJET,Canada,N
1614,Canada Jet Charters,,PINNACLE,Canada,N
1615,Canadian Airlines,CP,CANADIAN,Canada,Y
1616,Canadian Coast Guard,,CANADIAN COAST GUARD,Canada,N
1617,Canadian Eagle Aviation,,HAIDA,Canada,N
1618,Canadian Forces,,CANFORCE,Canada,N
1619,Canadian Global Air Ambulance,,BLIZZARD,Canada,N
1620,Canadian Helicopters,,CANADIAN,Canada,N
1621,Canadian Interagency Forest Fire Centre,,TANKER,Canada,N
1622,Canadian National Telecommunications,,,Canada,N
1623,Canadian North,5T,EMPRESS,Canada,Y
1624,Canadian Regional Airlines,,CANADIAN REGIONAL,Canada,N
1625,Canadian Warplane Heritage Museum,,WARPLANE HERITAGE,Canada,N
1626,Canadian Western Airlines,W2,CANADIAN WESTERN,Canada,N
1627,Canair,,CANAIR,China,N
1628,Cancun Air,,CAN-AIR,Mexico,N
1629,Cape Air,9K,CAIR,United States,Y
1630,Cape Air Transport,,,Australia,N
1631,Cape Central Airways,,SEMO,United States,N
1632,Cape Smythe Air,,CAPE SMYTHE AIR,United States,N
1633,Capital Air Service,,CAPAIR,United States,N
1634,Capital Airlines,,CAPITAL DELTA,Kenya,N
1635,Capital Airlines Limited,,CAPITAL SHUTTLE,Nigeria,N
1636,Capital Cargo International Airlines,PT,CAPPY,United States,N
1637,Capital City Air Carriers,,CAP CITY,United States,N
1638,Capital Trading Aviation,,PRESTIGE,United Kingdom,N
1639,Capitol Air Express,,CAPITOL EXPRESS,United States,N
1640,Capitol Wings Airline,,CAPWINGS,United States,N
1641,Caravan Air,,CAMEL,Mauritania,N
1642,Cardiff Wales Flying Club,,CAMBRIAN,United Kingdom,N
1643,Cardinal/Air Virginia,,AIR VIRGINIA,United States,N
1644,Cardolaar,,CARGOLAAR,Namibia,N
1645,Cards Air Services,,CARDS,Philippines,N
1646,Care Flight,,CARE FLIGHT,Australia,N
1647,Carga Aerea Dominicana,,CARGA AEREA,Dominican Republic,N
1648,Carga Express Internacional,,CARGAINTER,Mexico,N
1649,Cargo 360,GG,LONG-HAUL,United States,N
1650,Cargo Express,,MAURICARGO,Mauritania,N
1651,Cargo Ivoire,,CARGOIV,Ivory Coast,N
1652,Cargo Link (Caribbean),,CARGO LINK,Barbados,N
1653,Cargo Three,,THIRD CARGO,Panama,N
1654,Cargoitalia,2G,WHITE PELICAN,Italy,N
1655,Cargojet Airways,W8,CARGOJET,Canada,N
1656,Cargolux,CV,CARGOLUX,Luxembourg,N
1657,Cargoman,,HOTEL CHARLIE,Oman,N
1658,Carib Aviation,,RED TAIL,Antigua and Barbuda,N
1659,Carib Express,,WAVEBIRD,Barbados,N
1660,Caribair,,CARIBAIR,Dominican Republic,N
1661,Caribbean Air Cargo,,CARICARGO,Barbados,N
1662,Caribbean Air Transport,,CARIBBEAN,Netherlands,N
1663,Caribbean Airlines,BW,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
1664,Caribbean Airways,,CARIBJET,Barbados,N
1665,Caribbean Express,,CARIB-X,United States,N
1666,Caribbean Star Airlines,8B,CARIB STAR,Antigua and Barbuda,N
